incident_id,description,reported_date,reported_by_user_id,camera_id
1,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 442, location ID: 44. Initial response was documented by hotel security. Severity level used for generation: High.",2025-08-03,382,442
2,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 441, location ID: 194. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-08-19,322,441
3,"Security initiated support procedures for a major evacuation drill or emergency event. Related camera ID: 279, location ID: 471. Initial response was documented by hotel security. Severity level used for generation: Critical.",2025-05-16,315,279
4,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 450, location ID: 293. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-07-28,46,450
5,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 219, location ID: 295. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-12-24,177,219
6,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 114, location ID: 235. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-07-03,289,114
7,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 51, location ID: 217. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-06-21,80,51
8,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 337, location ID: 397. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-09-16,406,337
9,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 497, location ID: 54. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-10-01,31,497
10,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 228, location ID: 217. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-02-02,88,228
11,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 406, location ID: 67. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-01-28,184,406
12,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 107, location ID: 179. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-07-07,267,107
13,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 497, location ID: 54. Initial response was documented by hotel security. Severity level used for generation: High.",2025-02-24,25,497
14,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 43, location ID: 156. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-01-07,71,43
15,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 483, location ID: 450. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-03-26,114,483
16,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 351, location ID: 31. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-27,88,351
17,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 396, location ID: 331. Initial response was documented by hotel security. Severity level used for generation: High.",2025-05-16,335,396
18,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 223, location ID: 489. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-06-23,197,223
19,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 75, location ID: 326. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-06-17,477,75
20,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 129, location ID: 116. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-07-28,169,129
21,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 269, location ID: 433. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-02-15,35,269
22,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 285, location ID: 441. Initial response was documented by hotel security. Severity level used for generation: High.",2025-05-31,313,285
23,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 270, location ID: 374. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-06-21,278,270
