incident_id,title,description,severity,reported_date,status,user_id,camera_id
1,Guest room corridor disturbance,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 442, location ID: 44. Initial response was documented by hotel security.",High,2025-08-03,Open,264,442
2,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 322, location ID: 330. Initial response was documented by hotel security.",Low,2026-03-17,Resolved,279,322
3,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 395, location ID: 136. Initial response was documented by hotel security.",Medium,2025-02-13,Resolved,46,395
4,Parking gate dispute,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 219, location ID: 295. Initial response was documented by hotel security.",Medium,2024-12-24,Resolved,428,219
5,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 114, location ID: 235. Initial response was documented by hotel security.",Low,2025-07-03,In Progress,216,114
6,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 394, location ID: 122. Initial response was documented by hotel security.",Low,2025-06-21,Resolved,135,394
7,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 406, location ID: 67. Initial response was documented by hotel security.",Low,2025-07-22,In Progress,246,406
8,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 183, location ID: 347. Initial response was documented by hotel security.",Medium,2025-09-06,Resolved,487,183
9,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 115, location ID: 25. Initial response was documented by hotel security.",Low,2026-01-13,In Progress,279,115
10,Medical emergency support,"Security supported emergency response procedures for a medical incident on hotel premises. Related camera ID: 406, location ID: 67. Initial response was documented by hotel security.",Critical,2026-01-28,Resolved,443,406
11,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 107, location ID: 179. Initial response was documented by hotel security.",Medium,2025-07-07,In Progress,356,107
12,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 25, location ID: 354. Initial response was documented by hotel security.",Low,2025-12-13,Resolved,43,25
13,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 165, location ID: 401. Initial response was documented by hotel security.",Low,2024-08-05,Open,114,165
14,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 351, location ID: 31. Initial response was documented by hotel security.",Low,2025-10-27,Resolved,358,351
15,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 335, location ID: 278. Initial response was documented by hotel security.",Low,2025-09-12,Open,41,335
16,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 197, location ID: 9. Initial response was documented by hotel security.",Medium,2024-11-07,Resolved,75,197
17,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 56, location ID: 123. Initial response was documented by hotel security.",Low,2025-01-11,Resolved,169,56
18,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 269, location ID: 433. Initial response was documented by hotel security.",Medium,2025-02-15,Resolved,337,269
19,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 313, location ID: 235. Initial response was documented by hotel security.",Low,2025-05-23,Resolved,270,313
20,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 130, location ID: 42. Initial response was documented by hotel security.",Medium,2024-06-14,In Progress,84,130
21,Parking gate dispute,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 11, location ID: 374. Initial response was documented by hotel security.",Medium,2025-12-22,Resolved,342,11
22,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 232, location ID: 167. Initial response was documented by hotel security.",Medium,2025-08-12,In Progress,94,232
23,Guest room corridor disturbance,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 115, location ID: 25. Initial response was documented by hotel security.",High,2025-07-02,Resolved,351,115
24,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 135, location ID: 297. Initial response was documented by hotel security.",Low,2025-09-15,In Progress,350,135
25,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 167, location ID: 79. Initial response was documented by hotel security.",Low,2025-08-29,Open,116,167
26,Server room access violation,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 320, location ID: 394. Initial response was documented by hotel security.",High,2024-09-01,In Progress,95,320
27,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 310, location ID: 391. Initial response was documented by hotel security.",Low,2025-04-06,Open,337,310
28,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 105, location ID: 248. Initial response was documented by hotel security.",Low,2025-02-06,In Progress,347,105
29,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 200, location ID: 23. Initial response was documented by hotel security.",Low,2024-06-01,In Progress,419,200
30,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 438, location ID: 31. Initial response was documented by hotel security.",Medium,2025-11-14,Resolved,493,438
31,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 20, location ID: 27. Initial response was documented by hotel security.",Low,2025-10-05,Resolved,82,20
32,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 28, location ID: 46. Initial response was documented by hotel security.",Low,2025-05-25,In Progress,194,28
33,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 200, location ID: 23. Initial response was documented by hotel security.",Medium,2024-12-26,Resolved,67,200
34,Fire alarm security response,"Security responded to a fire alarm and coordinated with maintenance and management. Related camera ID: 32, location ID: 441. Initial response was documented by hotel security.",Critical,2026-02-22,Resolved,260,32
35,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 363, location ID: 57. Initial response was documented by hotel security.",Low,2025-11-08,Resolved,432,363
36,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 234, location ID: 248. Initial response was documented by hotel security.",Low,2025-05-01,Resolved,53,234
37,Server room access violation,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 125, location ID: 13. Initial response was documented by hotel security.",High,2024-06-02,Resolved,456,125
38,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 164, location ID: 215. Initial response was documented by hotel security.",Low,2025-01-09,Open,421,164
39,Parking gate dispute,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 500, location ID: 228. Initial response was documented by hotel security.",Medium,2024-05-04,Resolved,222,500
40,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 282, location ID: 86. Initial response was documented by hotel security.",Low,2024-10-21,In Progress,343,282
41,Parking gate dispute,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 343, location ID: 59. Initial response was documented by hotel security.",Medium,2025-01-04,In Progress,443,343
42,Parking gate dispute,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 372, location ID: 336. Initial response was documented by hotel security.",Medium,2025-03-14,Resolved,50,372
43,Guest room corridor disturbance,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 66, location ID: 152. Initial response was documented by hotel security.",High,2024-12-09,Open,19,66
44,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 19, location ID: 350. Initial response was documented by hotel security.",Medium,2024-08-17,Open,497,19
45,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 193, location ID: 288. Initial response was documented by hotel security.",Low,2024-08-07,In Progress,406,193
46,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 145, location ID: 243. Initial response was documented by hotel security.",Medium,2025-02-01,Resolved,424,145
47,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 374, location ID: 462. Initial response was documented by hotel security.",Medium,2026-04-08,Resolved,202,374
48,Server room access violation,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 334, location ID: 234. Initial response was documented by hotel security.",High,2026-01-11,In Progress,407,334
